Sample,Date,Time,6Li,7Li,7Li/6Li,Beta,6Li_SE,7Li_SE,7Li/6Li_SE,Beta_SE,Run
L-SVEC,08/10/18,05:52:51,0.026813907580507,0.380839189271946,14.2026004419939,-1.00054924625051,9.69863040528781E-06,0.000134511586251,0.000557108879975,0.000254805966683,4
Wash,08/10/18,05:57:51,0.000600270878917,0.00289115044837,4.81679249258742,6.02446860181623,3.67568130602694E-06,1.797390219102E-05,0.015028971727377,0.020303974043558,4
Blank,08/10/18,06:01:04,0.000575135946091,0.002743995563894,4.76342873622137,6.08298786551985,6.24983138966897E-06,2.35189764401845E-05,0.020917682842987,0.03060553734315,4
1.1 post,08/10/18,06:03:55,0.089235454678226,0.425054176925379,4.76345081242906,6.09620712384379,0.000131803002301,0.000629643758463,0.00020108217324,0.000274228716081,4
Wash,08/10/18,06:08:50,0.000623433960609,0.002904018338108,4.65705072163301,6.24330946896099,3.12829003656491E-06,1.79743276236947E-05,0.01179103145101,0.01644800356945,4
Blank,08/10/18,06:12:01,0.000615577338399,0.002849808947507,4.63071569734134,6.27195209407575,4.29448536248462E-06,2.4405754815429E-05,0.009047622313301,0.014467622772288,4
L-SVEC,08/10/18,06:14:52,0.02742268430294,0.389307953732657,14.1965606486386,-0.997785850711709,2.00811064614041E-05,0.000294832647413,0.000957405587211,0.000438130395452,4
Wash,08/10/18,06:19:53,0.000603534362583,0.00293900644217,4.86982646780194,5.95331744452543,3.24167259485869E-06,1.72082929005519E-05,0.01498456754925,0.019991623459727,4
Blank,08/10/18,06:23:04,0.000590827244663,0.002837550597669,4.79455220495392,6.05457922437914,3.41814700139442E-06,1.82330004028863E-05,0.015997447668696,0.021627627408498,4
1.1 post,08/10/18,06:25:56,0.087952326354189,0.418776053231019,4.76149345965612,6.09887698794213,8.77103394259065E-05,0.000426675174688,0.000177566174268,0.000242246110974,4
Wash,08/10/18,06:30:50,0.000665222828262,0.003136661634415,4.66800942132796,6.22795026500285,5.65468222502391E-06,4.59776716349146E-05,0.010163508683303,0.014203023730276,4
Blank,08/10/18,06:34:00,0.00065681030528,0.003042876626236,4.63911468160381,6.2682557034453,3.73970630705608E-06,1.92567497793977E-05,0.009263293611647,0.012955916934504,4
L-SVEC,08/10/18,06:36:52,0.027067336223417,0.383909712040367,14.1835055811455,-0.991809397163967,1.85235687615485E-05,0.00026472385527,0.000834069396811,0.000381997952049,4
Wash,08/10/18,06:42:20,0.000632993666243,0.003078597229707,4.86378030450838,5.96111459354811,3.34153067271747E-06,1.62035972107969E-05,0.010919091942852,0.014589477469415,4
Blank,08/10/18,06:45:31,0.000615578161658,0.002961013808574,4.79974324048015,6.04759634483331,4.41620759569322E-06,1.83521543696043E-05,0.01656156979036,0.022404774122485,4
2.1 pre,08/10/18,06:48:22,0.083555203416446,0.397842973522623,4.76153843333296,6.09881565393813,8.1567497236526E-05,0.0003926462058,0.000196917286187,0.000268657309101,4
Wash,08/10/18,06:53:16,0.000653547787796,0.003088094354392,4.74275698986027,6.12469366766665,3.24379464470057E-06,2.04561705899334E-05,0.009116827631655,0.012483340821603,4
Blank,08/10/18,06:56:29,0.000641110532061,0.002998153426084,4.67652928562043,6.21635239379857,3.77360207656439E-06,1.94015808587684E-05,0.01344462917274,0.018703890679397,4
L-SVEC,08/10/18,06:59:20,0.027095370463005,0.384175375615263,14.179170854914,-0.989823511598644,2.35168247192187E-05,0.000338301959022,0.001118316862136,0.000512367144975,4
Wash,08/10/18,07:04:19,0.000645341919501,0.003160944953274,4.89789960430188,5.91591693870349,3.10952951605508E-06,1.87802215383448E-05,0.014295469283304,0.018938367484994,4
Blank,08/10/18,07:07:32,0.000653155858523,0.003159205964048,4.83595821997224,5.99865195673451,3.19737867404569E-06,2.28007411023083E-05,0.014837086163458,0.019961516189004,4
2.1 pre,08/10/18,07:10:23,0.082514022322569,0.393051037308096,4.76327700484529,6.09644417977216,5.40606111375299E-05,0.000261468885797,0.000216413176633,0.000295133855572,4
Wash,08/10/18,07:15:17,0.00070830335686,0.003338127288674,4.71820411688225,6.15845468875455,3.9314607482274E-06,1.9770631722303E-05,0.009711743527315,0.013362008916736,4
Blank,08/10/18,07:18:30,0.000688946384827,0.003218374802695,4.66536049693741,6.23173179616816,3.49220252179377E-06,1.73517870212913E-05,0.01153910588925,0.016057426582695,4
L-SVEC,08/10/18,07:21:21,0.027368098975232,0.387909602506252,14.173368372449,-0.9871648601942,1.52625972656369E-05,0.000213388264924,0.000681118521894,0.000312181224033,4
Wash,08/10/18,07:26:22,0.000663501071066,0.003257350133594,4.90333108137585,5.90850418662918,2.91161231481815E-06,1.68560190868244E-05,0.011314842754313,0.015015622069106,4
Blank,08/10/18,07:29:33,0.000647675331657,0.003148562531307,4.85488467207942,5.97298966413836,3.86842910195327E-06,1.75621495005169E-05,0.010885122627822,0.014575696120298,4
2.1 post,08/10/18,07:32:27,0.075912088618956,0.361438358594417,4.76138320666479,6.0990274449125,3.79578860202564E-05,0.000184500444497,0.000205766451562,0.000280727200695,4
Wash,08/10/18,07:37:22,0.000692999906142,0.003249062585879,4.69539610515997,6.19023159812277,3.42459911523579E-06,2.06376464490215E-05,0.014322311898603,0.01985593891251,4
Blank,08/10/18,07:40:33,0.00068447506766,0.003227107262334,4.70727999513716,6.17353952235986,4.28478641481971E-06,2.11838023029276E-05,0.010197025735574,0.014066523555385,4
L-SVEC,08/10/18,07:43:25,0.024794140923761,0.350645266694015,14.1422636424075,-0.972892436713056,9.21670991310381E-06,0.000132150621163,0.001138787337276,0.000523034762197,4
Wash,08/10/18,07:48:24,0.00070116290554,0.003428822949862,4.88210285730787,5.93685731818636,3.55551697456534E-06,2.48257477792042E-05,0.013976763378767,0.018619612597627,4
Blank,08/10/18,07:51:37,0.000687040044256,0.003347739910893,4.87252872525666,5.9493173189172,5.67569739257198E-06,2.89862975792107E-05,0.008497441436613,0.011342876037988,4
2.1 post,08/10/18,07:54:27,0.074142008316384,0.353193653950866,4.76387570879577,6.09562768977387,6.61563939222389E-05,0.000321400966934,0.000196187770121,0.000267528082259,4
Wash,08/10/18,07:59:22,0.000726645547349,0.003406468258444,4.69467126613495,6.19088856825215,4.14556710128813E-06,2.39995245772109E-05,0.008670157962913,0.012002746955133,4
Blank,08/10/18,08:02:34,0.000707456582863,0.003339056322143,4.73248863123398,6.13879504410889,4.15287403983315E-06,2.00903114510997E-05,0.009571499824067,0.013121450856036,4
L-SVEC,08/10/18,08:05:24,0.025518478147632,0.360970138847128,14.1461112169903,-0.974659697275661,2.35900685489779E-05,0.000327368512228,0.001036000640426,0.000475756091312,4
Wash,08/10/18,08:10:53,0.00070090363131,0.00341647973246,4.88220888327645,5.93677585432877,4.07483853291128E-06,2.417907714818E-05,0.014817804088416,0.019743222860196,4
Blank,08/10/18,08:14:05,0.000692635309023,0.0033731468738,4.87531708869237,5.94560309399948,3.17314305701104E-06,1.8354714638636E-05,0.008788179118142,0.011721436176281,4
3.1 pre,08/10/18,08:16:57,0.08070441228989,0.384306482348677,4.76214778400662,6.09798441531114,0.000129698409948,0.000630091691778,0.000229309417016,0.000312811046439,4
Wash,08/10/18,08:21:53,0.000716721959277,0.003389039876035,4.73495891608507,6.13549095667805,3.97506510508171E-06,2.15613868647061E-05,0.010909204018075,0.015005009531926,4
Blank,08/10/18,08:25:04,0.000710024676641,0.00336040165657,4.74048333785638,6.1281444960934,3.43228782123045E-06,2.09832535812991E-05,0.014420042084371,0.01972822094409,4
L-SVEC,08/10/18,08:27:56,0.026069811551308,0.368716392888123,14.1426146105713,-0.973053549885586,1.97382859450485E-05,0.000256488761101,0.001273270666101,0.000584780075438,4
Wash,08/10/18,08:32:55,0.000710144985924,0.003489742684614,4.92108838950038,5.87745145887958,2.91453407841091E-06,1.98641021874191E-05,0.007387686798875,0.011787479303896,4
Blank,08/10/18,08:36:07,0.000704457974765,0.003447057992326,4.89321411519476,5.92194589799317,4.37942969764396E-06,2.26687056567354E-05,0.011403841409176,0.015182049556693,4
3.1 pre,08/10/18,08:39:00,0.080364302375432,0.382746086536964,4.76283687323904,6.09704445581532,9.33188420420767E-05,0.000454114938957,0.000213420304606,0.000291127443298,4
Wash,08/10/18,08:43:55,0.000761433038326,0.003618541564116,4.75924494943344,6.102220518827,4.38746022087461E-06,2.35875920104865E-05,0.010316461959372,0.014101638440217,4
Blank,08/10/18,08:47:08,0.000754797606627,0.003596642278217,4.77212453931003,6.08464774856642,3.16201839198627E-06,2.14621051271241E-05,0.010019873088399,0.013682221327458,4
L-SVEC,08/10/18,08:49:59,0.026654423857399,0.376962814262752,14.1425899602884,-0.973042754849889,1.7989338366826E-05,0.000256535542997,0.000466559321338,0.00021430611708,4
Wash,08/10/18,08:54:58,0.000746331177265,0.003675393174485,4.91572193121437,5.89236194610272,3.56339566668751E-06,2.45076765808705E-05,0.015297001442008,0.020185982514432,4
Blank,08/10/18,08:58:11,0.000726369812677,0.003552035946592,4.89163809439381,5.92442959368363,6.64093927357397E-06,2.82098707317735E-05,0.016829757676571,0.022281129285353,4
3.1 post,08/10/18,09:01:01,0.078391002260676,0.373445324287291,4.76389266310926,6.0956045829029,0.000121266815489,0.000584278561626,0.000210268142489,0.000286731872138,4
Wash,08/10/18,09:05:56,0.000769676768931,0.0036528703134,4.75991573012136,6.10116673703368,4.06102265568749E-06,2.61671734627695E-05,0.007493508318647,0.010234098288269,4
Blank,08/10/18,09:09:09,0.000754525798727,0.003597261559606,4.76710016562719,6.09179481241026,3.2724112743587E-06,2.21580834320826E-05,0.01437350566575,0.019631218912956,4
L-SVEC,08/10/18,09:12:00,0.027181246408941,0.384560033558296,14.1474519898344,-0.97527546164099,1.98297969123625E-05,0.000271931821947,0.000867877575603,0.000398510704593,4
